Command,Type,Value,Text,Description,English,
/ch/01/config/source,i,0-64,"OFF, In01…32, Aux 1…6, USB L, USB R, Fx 1L…Fx 4R, Bus01-16","Channel source",,
/ch/01/delay/on,i,0-1,"OFF, ON","Channel input delay OFF/ON",,
/ch/01/delay/time,f,0.0-1.0,"0.3 - 500.0","Channel input delay time",,
/ch/01/dyn/attack,f,0.0-1.0,"0.0 - 120.0","Channel compressor attack value",,
/ch/01/dyn/auto,i,0-1,"OFF, ON","Channel compressor auto OFF/ON",,
/ch/01/dyn/det,i,0-1,"PEAK, RMS","Channel compressor detection (PEAK, RMS)",,
/ch/01/dyn/env,i,0-1,"LIN, LOG","Channel compressor envelope (LIN, LOG)",,
/ch/01/dyn/filter/f,f,0.0-1.0,"20.0 - 20000","Channel compressor filter frequency",,
/ch/01/dyn/filter/on,i,0-1,"OFF, ON","Turn OFF/ON compressor filter",,
/ch/01/dyn/filter/type,i,0-8,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Channel compressor filter type",,
/ch/01/dyn/hold,f,0.0-1.0,"0.02 - 2000","Channel compressor hold",,
/ch/01/dyn/keysrc,i,0-64,"OFF, In01-32, Aux 1-6, USB L, USB R, Fx 1L-Fx 4R, Bus01-16","Channel compressor sidechain key source",,
/ch/01/dyn/knee,f,0.0-1.0,"0.0 - 5.0","Channel compressor knee",,
/ch/01/dyn/mgain,f,0.0-1.0,"0.0 -  24.0","Channel compressor make up gain",,
/ch/01/dyn/mix,f,0.0-1.0,"0.0 - 100","Channel compressor mix",,
/ch/01/dyn/mode,i,0-1,"COMP, EXP","Channel compressor mode [COMP, EXP]",,
/ch/01/dyn/on,i,0-1,"OFF, ON","Channel compressor OFF/ON",,
/ch/01/dyn/pos,i,0-1,"PRE, POST","Channel compressor tap",,
/ch/01/dyn/ratio,i,0-11,"1.1, 1.3, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 7.0, 10, 20, 100","Channel compressor ratio",,
/ch/01/dyn/release,f,0.0-1.0,"5.0 - 4000","Channel compressor release",,
/ch/01/dyn/thr,f,0.0-1.0,"-60.0 - 0.0","Channel compressor threshold",,
/ch/01/eq/1/f,f,0.0-1.0,"20.0 - 20000","Channel PEQ frequency",,
/ch/01/eq/1/g,f,0.0-1.0,"-15.0 - +15.0","Channel PEQ gain",,
/ch/01/eq/1/q,f,0.0-1.0,"10.0 - 0.32","Channel PEQ quality (width)",,
/ch/01/eq/1/type,i,1-5,"Lcut, LShv, PEQ, VEQ, HShv, Hcut","Channel PEQ type",,
/ch/01/eq/on,i,0-1,"OFF, ON","Channel PEQ on",,
/ch/01/gate/attack,f,0.0-1.0,"0.0 - 120.0","Channel gate attack",,
/ch/01/gate/filter/f,f,0.0-1.0,"20 - 20000","Channel gate filter frequency",,
/ch/01/gate/filter/on,i,0-1,"OFF, ON","Channel gate filter on",,
/ch/01/gate/filter/type,i,0-8,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Channel gate filter type",,
/ch/01/gate/hold,f,0.0-1.0,"0.02 - 2000","Channel gate hold",,
/ch/01/gate/keysrc,i,0-64,"OFF, In01-32, Aux 1-6, USB L, USB R, Fx 1L-Fx 4R, Bus01-16","Channel gate sidechain key source",,
/ch/01/gate/mode,i,0-4,"EXP2, EXP3, EXP4, GATE, DUCK","Channel gate mode",,
/ch/01/gate/on,i,0-1,"OFF, ON","Channel gate on",,
/ch/01/gate/range,f,0.0-1.0,"3.0 - 60.0","Channel gate range",,
/ch/01/gate/release,f,0.0-1.0,"5.0 - 4000","Channel gate release",,
/ch/01/gate/thr,f,0.0-1.0,"-80.0 - 0.0","Channel gate threshold",,
/ch/01/grp/dca,i,0-255,%00000000,"Channel DCA assignments",,
/ch/01/grp/mute,i,0-63,%000000,"Channel Mutegroup assignments",,
/ch/01/insert/on,i,0-1,"OFF, ON","Channel insert on",,
/ch/01/insert/pos,i,0-1,"PRE, POST","Channel insert tap",,
/ch/01/insert/sel,i,0-22,"OFF, FX1L-FX8R, AUX1-6","Channel insert selection",,
/ch/01/mix/01/level,f,0.0-1.0,"-oo - +10.0","Channel sends fader level",,
/ch/01/mix/01/on,i,0-1,"OFF, ON","Channel sends on/mute",,
/ch/01/mix/01/pan,f,0.0-1.0,"-100 - +100","Channel sends pan",,
/ch/01/mix/01/type,i,0-5,"IN/LC, <-EQ, EQ->, PRE, POST, GRP","Channel sends type",,
/ch/01/mix/fader,f,0.0-1.0,"-oo - +10.0","Channel fader level",,
/ch/01/mix/mlevel,f,0.0-1.0,"-oo - +10.0","Channel to mono fader level",,
/ch/01/mix/mono,i,0-1,"OFF, ON","Channel to mono on/mute",,
/ch/01/mix/on,i,0-1,"OFF, ON","Channel on/mute",,
/ch/01/mix/pan,f,0.0-1.0,"-100 - +100","Channel pan",,
/ch/01/mix/st,i,0-1,"OFF, ON","Channel to LR",,
/ch/01/preamp/hpf,f,0.0-1.0,"20.0 - 400.0","Channel low cut frequency",,
/ch/01/preamp/invert,i,0-1,"OFF, ON","Channel preamp polarity",,
/ch/01/preamp/hpon,i,0-1,"OFF, ON","Channel low cut on",,
/ch/01/preamp/hpslope,i,0-2,"12, 18, 24","Channel low cut slope",,
/ch/01/preamp/time,f,0.0-1.0,"0.3 - 500.0","Channel preamp delay time",,
/ch/01/preamp/trim,f,0.0-1.0,"-18.0 - +18.0","Channel preamp trim level",,
/config/amixenable/X,i,0-1,"OFF, ON","Automix group X enable",,
/config/amixenable/Y,i,0-1,"OFF, ON","Automix group Y enable",,
/config/auxlink/1-2,i,0-1,"OFF, ON","Links/unlinks odd/even Aux strips (1-8)",,
/config/buslink/1-2,i,0-1,"OFF, ON","Links/unlinks odd/even Bus strips (1-16)",,
/config/chlink/1-2,i,0-1,"OFF, ON","Links/unlinks odd/even Channel strips (1-32)",,
/config/fxlink/1-2,i,0-1,"OFF, ON","Links/unlinks odd/even FX strips (1-8)",,
/config/linkcfg/dyn,i,0-1,"OFF, ON","Sets Dynamics link",,
/config/linkcfg/eq,i,0-1,"OFF, ON","Sets EQ link",,
/config/linkcfg/fdrmute,i,0-1,"OFF, ON","Sets Mute/Fader link",,
/config/linkcfg/hadly,i,0-1,"OFF, ON","Sets Delay + HA link",,
/config/mono/link,i,0-1,"OFF, ON","Sets M/C depends on Main L/R",,
/config/mono/mode,i,0-1,"LR+M, LCR","Sets mono mode [LR+M, LCR]",,
/config/mtxlink/1-2,i,0-1,"OFF, ON","Links/unlinks odd/even Matrix strips (1-8)",,
/config/mute/1,i,0-1,"OFF, ON","Turns off/on mutegroup",,
/config/osc/dest,i,0-25,"MixBus1-16, L, R, L+R, M/C, Matrix1-6","Destination of oscillator",,
/config/osc/f1,f,,"20 - 20000","Oscillator frequency 1",,
/config/osc/f2,f,,"20 - 20000","Oscillator frequency 2",,
/config/osc/fsel,i,0-1,"F1, F2","Selects oscillator frequency [F1, F2]",,
/config/osc/level,f,0.0-1.0,"-oo - +10.0","Oscillator level",,
/config/osc/type,i,0-2,"SINE, PINK, WHITE","Oscillator type [sine, pink, white]",,
/config/routing/AES50A/1-8,i,0-25,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to AES50 A banks",,
/config/routing/AES50B/1-8,i,0-25,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to AES50 B banks",,
/config/routing/CARD/1-8,i,0-25,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to Card banks",,
/config/routing/IN/1-8,i,0-19,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to Inputs (Home) banks",,
/config/routing/IN/AUX,i,0-12,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to Aux banks",,
/config/routing/OUT/1-4,i,0-25,"AN1-8, AN9-16, AN17-24, AN25-32, etc","Assigns bank-of-8 to XLR Out banks",,
/config/solo/busmode,i,0-1,"PFL, AFL","Solo option - Mixbus solo AFL",,
/config/solo/chmode,i,0-1,"PFL, AFL","Solo option - Channel solo AFL",,
/config/solo/dcamode,i,0-1,"PFL, AFL","Solo option - DCA solo AFL",,
/config/solo/delay,i,0-1,"OFF, ON","Turns off/on solo delay",,
/config/solo/delaytime,f,0.0-1.0,"0.3 - 500.0","Sets solo delay time",,
/config/solo/dim,i,0-1,"OFF, ON","Turns off/on solo dim attenuation",,
/config/solo/dimatt,f,0.0-1.0,"-40.0 - 0.0","Sets solo dim level",,
/config/solo/dimpfl,i,0-1,"OFF, ON","Solo option - Use DIM for PFL",,
/config/solo/exclusive,i,0-1,"OFF, ON","Solo option - Exclusive (last)",,
/config/solo/followsel,i,0-1,"OFF, ON","Solo option - Solo follows select",,
/config/solo/followsolo,i,0-1,"OFF, ON","Solo option - Select follows solo",,
/config/solo/level,f,0.0-1.0,"-oo - +10.0","Sets solo level",,
/config/solo/masterctrl,i,0-1,"OFF, ON","Solo option - Use Master Fader",,
/config/solo/mono,i,0-1,"OFF, ON","Solo Mono off/on",,
/config/solo/mute,i,0-1,"OFF, ON","Solo Mutes off/on",,
/config/solo/source,i,0-6,"OFF, LR, LR+C, LR PFL, LR AFL, AUX56, AUX78","Assigns solo source",,
/config/solo/sourcetrim,f,0.0-1.0,"-18.0 - +18.0","Sets solo trim",,
/config/talk/A/destmap,i,0-262143,%000000000000000000,"Talkback A Destination (bitmap)",,
/config/talk/A/dim,i,0-1,"OFF, ON","Talkback A Dim Mode",,
/config/talk/A/latch,i,0-1,"OFF, ON","Talkback A Latch",,
/config/talk/A/level,f,0.0-1.0,"-oo - +10.0","Talkback A Level",,
/config/talk/B/destmap,i,0-262143,%000000000000000000,"Talkback B Destination (bitmap)",,
/config/talk/B/dim,i,0-1,"OFF, ON","Talkback B Dim Mode",,
/config/talk/B/latch,i,0-1,"OFF, ON","Talkback B Latch",,
/config/talk/B/level,f,0.0-1.0,"-oo - +10.0","Talkback B Level",,
/config/talk/enable,i,0-1,"OFF, ON","Talkback A/B Enable",,
/config/talk/source,i,0-1,"INT, EXT","Talkback A/B Source mode",,
/config/tape/autoplay,i,0-1,"OFF, ON","USB recorder play mode: single or folder",,
/config/tape/gainL,f,0.0-1.0,"-6.0 - 24.0","USB recorder left gain level",,
/config/tape/gainR,f,0.0-1.0,"-6.0 - 24.0","USB recorder right gain level",,
/config/userctrl/A/btn/5,s,,,"Assignment to user assign button - Set A",,
/config/userctrl/A/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","Color of Set A scribble strips",,
/config/userctrl/A/enc/1,s,,,"Assignment to user assign encoder - Set A",,
/config/userctrl/B/btn/5,s,,,"Assignment to user assign button - Set B",,
/config/userctrl/B/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","Color of Set B scribble strips",,
/config/userctrl/B/enc/1,s,,,"Assignment to user assign encoder - Set B",,
/config/userctrl/C/btn/5,s,,,"Assignment to user assign button - Set C",,
/config/userctrl/C/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","Color of Set C scribble strips",,
/config/userctrl/C/enc/1,s,,,"Assignment to user assign encoder - Set C",,
/config/userrout/in/01,i,0-168,,"Routing, User In 32 assignments",,
/config/userrout/out/01,i,0-208,,"Routing, User Out 48 assignments",,
/copy,siii,,,"Copies an X32/M32 internal set to another",,
/dca/1/config/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","DCA scribble strip color",,
/dca/1/config/icon,i,1-74,1-74,"DCA icon",,
/dca/1/config/name,s,,,"DCA name",,
/dca/1/fader,f,0.0-1.0,"-oo - +10.0","DCA fader level",,
/dca/1/on,i,0-1,"OFF, ON","DCA mute on/off",,
/delete,si,,,"Deletes a scene, snippet or preset at a given index",,
/formatsubscribe,sssiii,,,"Assign an alias to a command or commands",,
/fx/1/par/01,f,0.0-1.0,"See Fx Parameters chapter","FX slot parameters",,
/fx/1/source/l,i,0-17,"INS, MIX1-16, M/C","FX slot left source",,
/fx/1/type,i,0-60,"HALL, AMBI, RPLT, CHAM, PLAT, VREV, VRM, etc","FX slot type",,
/fxrtn/01/config/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","FX Return scribble strip color",,
/fxrtn/01/config/icon,i,1-74,1-74,"FX Return scribble strip icon",,
/fxrtn/01/config/name,s,,,"FX Return scribble strip name",,
/fxrtn/01/eq/1/f,f,0.0-1.0,"20 - 20000","FX Return PEQ frequency",,
/fxrtn/01/eq/1/g,f,0.0-1.0,"-15.0 - +15.0","FX Return PEQ gain",,
/fxrtn/01/eq/1/q,f,0.0-1.0,"10.0 - 0.32","FX Return PEQ quality (width)",,
/fxrtn/01/eq/1/type,i,0-5,"IN/LC, <-EQ, EQ->, PRE, POST, GRP","FX Return PEQ type",,
/fxrtn/01/eq/on,i,0-1,"OFF, ON","FX Return PEQ on",,
/fxrtn/01/grp/dca,i,0-255,%00000000,"FX Return DCA assignments",,
/fxrtn/01/grp/mute,i,0-63,%000000,"FX Return Mutegroup assignments",,
/fxrtn/01/mix/01/level,f,0.0-1.0,"-oo - +10.0","FX Return sends fader level",,
/fxrtn/01/mix/01/on,i,0-1,"OFF, ON","FX Return sends on/mute",,
/fxrtn/01/mix/01/pan,f,0.0-1.0,"-100 - +100","FX Return sends pan",,
/fxrtn/01/mix/01/type,i,,"IN/LC, <-EQ, EQ->, PRE, POST, GRP","FX Return sends type",,
/fxrtn/01/mix/fader,f,0.0-1.0,"-oo - +10.0","FX Return fader level",,
/fxrtn/01/mix/mlevel,f,0.0-1.0,"-oo - +10.0","FX Return mono fader level",,
/fxrtn/01/mix/mono,i,0-1,"OFF, ON","FX Return mono on/mute",,
/fxrtn/01/mix/on,i,0-1,"OFF, ON","FX Return on/mute",,
/fxrtn/01/mix/pan,f,0.0-1.0,"-100 - +100","FX Return pan",,
/fxrtn/01/mix/st,i,0-1,"OFF, ON","FX Return to LR",,
/headamp/001/gain,f,0.0-1.0,"-12.0 - +60.0","Headamps gain level",,
/headamp/001/phantom,i,0-1,"OFF, ON","Headamps phantom on",,
/info,,,,"Returns info of X32 (eg. firmware version, etc)",,
/insert/aux/1,i,0-,,???,,
/load,siii,,,"Loads a scene, snippet or preset at a given index",,
/main/m/config/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","M/C scribble strip color",,
/main/m/config/icon,i,1-74,1-74,"M/C scribble strip icon",,
/main/m/config/name,s,,,"M/C scribble strip name",,
/main/m/dyn/attack,f,0.0-1.0,"0.0 - 120.0","M/C compressor attack",,
/main/m/dyn/auto,i,0-1,"OFF, ON","M/C compressor auto",,
/main/m/dyn/det,i,0-1,"PEAK, RMS","M/C compressor detection",,
/main/m/dyn/env,i,0-1,"LIN, LOG","M/C compressor envelope",,
/main/m/dyn/filter/f,f,0.0-1.0,"20 - 20000","M/C compressor filter frequency",,
/main/m/dyn/filter/on,i,0-1,"OFF, ON","M/C compressor filter on",,
/main/m/dyn/filter/type,i,0-8,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","M/C compressor filter type",,
/main/m/dyn/hold,f,0.0-1.0,"0.02 - 2000","M/C compressor hold",,
/main/m/dyn/knee,f,0.0-1.0,"0.0 - 5.0","M/C compressor knee",,
/main/m/dyn/mgain,f,0.0-1.0,"0.0 - 24.0","M/C compressor make up gain",,
/main/m/dyn/mix,f,0.0-1.0,"0 - 100","M/C compressor mix",,
/main/m/dyn/mode,i,0-1,"COMP, EXP","M/C compressor mode",,
/main/m/dyn/on,i,0-1,"OFF, ON","M/C compressor on",,
/main/m/dyn/pos,i,0-1,"PRE, POST","M/C compressor tap",,
/main/m/dyn/ratio,i,0-11,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","M/C compressor ratio",,
/main/m/dyn/release,f,0.0-1.0,"5.0 - 4000.0","M/C compressor release",,
/main/m/dyn/thr,f,0.0-1.0,"-60.0 - 0.0","M/C compressor threshold",,
/main/m/eq/1/f,f,0.0-1.0,"20 - 20000","M/C PEQ frequency",,
/main/m/eq/1/g,f,0.0-1.0,"-15.0 - +15.0","M/C PEQ gain",,
/main/m/eq/1/q,f,0.0-1.0,"10.0 - 0.32","M/C PEQ quality (width)",,
/main/m/eq/1/type,i,0-5,"LCut, LShv, PEQ, VEQ, HShv, HCut","M/C PEQ tap",,
/main/m/eq/on,i,0-1,"OFF, ON","M/C PEQ on",,
/main/m/grp/dca,i,0-255,%00000000,"M/C DCA assignments",,
/main/m/grp/mute,i,0-63,%000000,"M/C Mutegroup assignments",,
/main/m/insert/on,i,0-1,"OFF, ON","M/C insert on",,
/main/m/insert/pos,i,0-1,"PRE, POST","M/C insert tap",,
/main/m/insert/sel,i,0-22,"OFF, FX1L-8R, AUX1-6","M/C insert selection",,
/main/m/mix/01/level,f,0.0-1.0,"-oo - +10.0","M/C sends fader level (to matrix)",,
/main/m/mix/01/on,i,0-1,"OFF, ON","M/C sends on/mute (to matrix)",,
/main/m/mix/01/pan,f,0.0-1.0,"-100 - +100","M/C sends pan (to matrix)",,
/main/m/mix/01/type,i,0-5,"IN/LC, <-EQ, EQ->, PRE, POST","M/C sends tap (to matrix)",,
/main/m/mix/fader,f,0.0-1.0,"-oo - +10.0","M/C fader level",,
/main/m/mix/on,i,0-1,"OFF, ON","M/C on/mute",,
/main/st/config/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","Main LR scribble strip color",,
/main/st/config/icon,i,1-74,1-74,"Main LR scribble strip icon",,
/main/st/config/name,s,,,"Main LR scribble strip name",,
/main/st/dyn/attack,f,0.0-1.0,"0.0 - 120.0","Main LR compressor attack",,
/main/st/dyn/auto,i,0-1,"OFF, ON","Main LR compressor auto",,
/main/st/dyn/det,,0-1,"PEAK, RMS","Main LR compressor detection",,
/main/st/dyn/env,,0-1,"LIN, LOG","Main LR compressor envelope",,
/main/st/dyn/filter/f,f,0.0-1.0,"20 - 20000","Main LR compressor filter frequency",,
/main/st/dyn/filter/on,i,0-1,"OFF, ON","Main LR compressor filter on",,
/main/st/dyn/filter/type,i,0-8,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Main LR compressor filter tap",,
/main/st/dyn/hold,f,0.0-1.0,"0.02 - 2000","Main LR compressor hold",,
/main/st/dyn/knee,i,0.0-1.0,"0.0 -5.0","Main LR compressor knee",,
/main/st/dyn/mgain,f,0.0-1.0,"0.0 - 24.0","Main LR compressor make up gain",,
/main/st/dyn/mix,i,0-1,"OFF, ON","Main LR compressor mix",,
/main/st/dyn/mode,i,0-1,"COMP, EXP","Main LR compressor mode",,
/main/st/dyn/on,i,0-1,"OFF, ON","Main LR compressor on",,
/main/st/dyn/pos,i,0-1,"PRE, POST","Main LR compressor tap",,
/main/st/dyn/ratio,i,0-1,"1.1, 1.3, 1.5, 2.0, 2.5, 3.0, 4.0, 5.0, 7.0, 10, 20, 100","Main LR compressor ratio",,
/main/st/dyn/release,f,0.0-1.0,"5.0 - 4000.0","Main LR compressor release",,
/main/st/dyn/thr,f,0.0-1.0,"-60.0 - 0.0","Main LR compressor threshold",,
/main/st/eq/1/f,f,0.0-1.0,"20 -20000","Main LR PEQ frequency",,
/main/st/eq/1/g,f,0.0-1.0,"-15.0 - +15.0","Main LR PEQ gain",,
/main/st/eq/1/q,f,0.0-1.0,"10.0 -0.32","Main LR PEQ quality (width)",,
/main/st/eq/1/type,i,0-5,"Lcut, LShv, PEQ, VEQ, HShv, Hcut","Main LR PEQ tap",,
/main/st/eq/on,i,0-1,"OFF, ON","Main LR PEQ on",,
/main/st/grp/dca,i,0-255,%00000000,"Main DCA assignments",,
/main/st/grp/mute,i,0-63,%000000,"Main Mutegroup assignments",,
/main/st/insert/on,i,0-1,"OFF, ON","Main LR insert on",,
/main/st/insert/pos,i,0-1,"PRE, POST","Main LR insert tap",,
/main/st/insert/sel,i,0-22,"OFF, FX1L-8R, AUX1-6","Main LR insert selection",,
/main/st/mix/01/level,f,0.0-1.0,"-oo - +10.0","Main LR sends fader level (to matrix)",,
/main/st/mix/01/on,i,0-1,"OFF, ON","Main LR sends on/mute (to matrix)",,
/main/st/mix/01/pan,f,0.0-1.0,"-100 - +100","Main LR sends pan (to matrix)",,
/main/st/mix/01/type,i,0-5,"IN/LC, <-EQ, EQ->, PRE, POST","Main LR sends tap (to matrix)",,
/main/st/mix/fader,f,0.0-1.0,"-oo - +10.0","Main LR fader level",,
/main/st/mix/on,i,0-1,"OFF, ON","Main LR on/mute",,
/main/st/mix/pan,f,0.0-1.0,"-100 - +1000-15","Main LR pan",,
/mtx/01/config/color,i,0-15,"OFF RD GN YE BL MG CY WH OFFi RDi GNi YEi BLi MGi CYi WHi","Matrix scribble strip color",,
/mtx/01/config/icon,i,1-74,1-74,"Matrix scribble strip icon",,
/mtx/01/config/name,s,,,"Matrix scribble strip name",,
/mtx/01/config/preamp/invert,i,0-1,"OFF, ON","Matrix preamp polarity",,
/mtx/01/dyn/attack,f,0.0-1.0,"0.0 - 120.0","Matrix compressor attack",,
/mtx/01/dyn/auto,i,0-1,"OFF, ON","Matrix compressor auto",,
/mtx/01/dyn/det,i,0-1,"PEAK, RMS","Matrix compressor detection",,
/mtx/01/dyn/env,i,0-1,"LIN, LOG","Matrix compressor envelope",,
/mtx/01/dyn/filter/f,f,0.0-1.0,"20 - 20000","Matrix compressor filter frequency",,
/mtx/01/dyn/filter/on,i,0-1,"OFF, ON","Matrix compressor filter on",,
/mtx/01/dyn/filter/type,i,0-5,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Matrix compressor filter tap",,
/mtx/01/dyn/hold,f,0.0-1.0,"0.02 - 2000.0","Matrix compressor hold",,
/mtx/01/dyn/knee,f,0.0-1.0,"0.0 - 5.0","Matrix compressor knee",,
/mtx/01/dyn/mgain,f,0.0-1.0,"0.0 - 24.0","Matrix compressor make up gain",,
/mtx/01/dyn/mix,f,0.0-1.0,"0 - 100","Matrix compressor mix",,
/mtx/01/dyn/mode,i,0-1,"COMP, EXP","Matrix compressor mode",,
/mtx/01/dyn/on,i,0-1,"OFF, ON","Matrix compressor on",,
/mtx/01/dyn/pos,i,0-1,"PRE, POST","Matrix compressor tap",,
/mtx/01/dyn/ratio,i,0-11,"LC6, LC12, HC6, HC12, 1.0, 2.0, 3.0, 5.0, 10.0","Matrix compressor ratio",,
/mtx/01/dyn/release,f,0.0-1.0,"5.0 - 4000.0","Matrix compressor release",,
/mtx/01/dyn/thr,f,0.0-1.0,"-60.0 - 0.0","Matrix compressor threshold",,
/mtx/01/eq/1/f,f,0.0-1.0,"20 - 20000","Matrix PEQ frequency",,
/mtx/01/eq/1/g,f,0.0-1.0,"-15.0 - +15.0","Matrix PEQ gain",,
/mtx/01/eq/1/q,f,0.0-1.0,"10.0 - 0.32","Matrix PEQ quality (width)",,
/mtx/01/eq/1/type,i,0-5,"LCut, LShv, PEQ, VEQ, HShv, HCut","Matrix PEQ tap",,
/mtx/01/eq/on,i,0-1,"OFF, ON","Matrix PEQ on",,
/mtx/01/grp/dca,i,0-255,%00000000,"Matrix DCA assignments",,
/mtx/01/grp/mute,i,0-63,%000000,"Matrix Mutegroup assignments",,
/mtx/01/insert/on,i,0-1,"OFF, ON","Matrix insert on",,
/mtx/01/insert/pos,i,0-1,"PRE, POST","Matrix insert tap",,
/mtx/01/insert/sel,i,0-22,"OFF, FX1L-8R, AUX1-6","Matrix insert selection",,
/mtx/01/mix/fader,f,0.0-1.0,"-oo - +10.0","Matrix fader level",,
/mtx/01/mix/on,i,0-1,"OFF, ON","Matrix on/mute",,
/node,,,,"node command",,
/outputs/aes/01/pos,i,0-8,"IN/LC, IN/LC+M, <-EQ, <-EQ+M, EQ->, EQ->+M, PRE, PRE+M, POST","AES/EBU Output tap",,
/outputs/aes/01/src,i,0-76,"OFF, Main L, Main R, M/C, MixBus 01-16, Matrix 1-6, etc","AES/EBU Output source",,
/outputs/aux/01/pos,i,0-8,"IN/LC, IN/LC+M, <-EQ, <-EQ+M, EQ->, EQ->+M, PRE, PRE+M, POST","Aux Output tap",,
/outputs/aux/01/src,i,0-76,"OFF, Main L, Main R, M/C, MixBus 01-16, Matrix 1-6, etc","Aux Output source",,
/outputs/main/01/delay/on,i,0-1,"OFF, ON","Outputs 1-16 delay on",,
/outputs/main/01/delay/time,f,0.0-1.0,"0.3 - 500.0","Outputs 1-16 delay time",,
/outputs/main/01/pos,i,0-8,"IN/LC, IN/LC+M, <-EQ, <-EQ+M, EQ->, EQ->+M, PRE, PRE+M, POST","Outputs 1-16 delay tap",,
/outputs/main/01/src,i,0-76,"OFF, Main L, Main R, M/C, MixBus 01-16, Matrix 1-6, etc","Outputs 1-16 delay source",,
/outputs/p16/01/pos,i,0-8,"IN/LC, IN/LC+M, <-EQ, <-EQ+M, EQ->, EQ->+M, PRE, PRE+M, POST","Ultranet tap",,
/outputs/p16/01/src,i,0-76,"OFF, Main L, Main R, M/C, MixBus 01-16, Matrix 1-6, etc","Ultranet source",,
/outputs/rec/01/pos,i,0-8,"IN/LC, IN/LC+M, <-EQ, <-EQ+M, EQ->, EQ->+M, PRE, PRE+M, POST","USB recorder tap",,
/outputs/rec/01/src,i,0-76,"OFF, Main L, Main R, M/C, MixBus 01-16, Matrix 1-6, etc","USB recorder source",,
/rename,si,,,"Renames a scene, snippet or preset at a given index",,
/renew,s,,,"Element to be renewed (can be an alias of a command)",,
/save,sissi,,,"Saves or updates a scene, snippet or preset at a given index",,
/showdump,,,,"Request the X32/M32 to send all Cue, Scene and Snippet related data",,
/status,,,,"Server responds with /status message",,
/subscribe,si,,,"String: an X32/M32 command, int is a time_factor",,
/unsubscribe,s,,,"Subscription to be stopped (can be an alias of a command)",,
/xinfo,,,,"Server responds with /xinfo message",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
